Tipo NI;CNPJ;Período de Apuração;Data de Transmissão;Hora Transmissão;Categoria;Origem;Tipo;Situação;Débito Apurado;Saldo a Pagar
CNPJ;4,93506E+12;01/08/2025;30/09/2025;12:27:27;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 19.597,31;R$ 19.597,31
CNPJ;4,93506E+12;01/07/2025;15/08/2025;10:36:59;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 19.596,04;R$ 19.596,04
CNPJ;4,93506E+12;01/06/2025;14/08/2025;12:40:07;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 19.800,97;R$ 19.800,97
CNPJ;4,93506E+12;01/05/2025;17/06/2025;15:13:32;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 19.889,10;R$ 19.889,10
CNPJ;5,5345E+12;jul/25;18/08/2025;14:51:25;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 61.386,32;R$ 61.386,32
CNPJ;5,5345E+12;01/05/2025;20/06/2025;09:32:22;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 68.284,90;R$ 68.284,90
CNPJ;5,28527E+12;01/09/2025;17/10/2025;10:53:08;Geral;eSocial;Retificadora;Ativa;R$ 18.657,59;R$ 18.657,59
CNPJ;5,28527E+12;01/08/2025;12/09/2025;14:08:35;Geral;eSocial;Retificadora;Ativa;R$ 48.364,69;R$ 48.364,69
CNPJ;5,28527E+12;01/07/2025;18/08/2025;11:47:51;Geral;eSocial;Original;Ativa;R$ 44.939,48;R$ 44.939,48
CNPJ;5,28527E+12;01/06/2025;22/07/2025;09:12:45;Geral;eSocial, MIT;Retificadora;Ativa;R$ 43.123,09;R$ 43.123,09
CNPJ;5,28527E+12;01/05/2025;11/06/2025;11:28:08;Geral;eSocial;Original;Ativa;R$ 40.133,34;R$ 40.133,34
CNPJ;5,21807E+12;01/08/2025;30/09/2025;09:10:07;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 75.551,32;R$ 75.551,32
CNPJ;5,21807E+12;01/07/2025;23/09/2025;10:28:48;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 53.953,92;R$ 47.184,01
CNPJ;5,21807E+12;01/06/2025;23/09/2025;10:27:07;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 171.647,86;R$ 171.647,86
CNPJ;5,21807E+12;01/05/2025;23/09/2025;10:25:46;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 69.479,83;R$ 69.479,83
CNPJ;5,75578E+12;01/07/2025;21/08/2025;16:47:34;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 11.740,38;R$ 11.740,38
CNPJ;5,75578E+12;01/05/2025;23/06/2025;18:36:06;Geral;eSocial, MIT;Retificadora;Ativa;R$ 11.470,26;R$ 11.470,26
CNPJ;5,6712E+12;01/09/2025;15/10/2025;11:10:46;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 40.790,85;R$ 28.186,33
CNPJ;5,6712E+12;01/08/2025;16/09/2025;17:07:45;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 40.394,62;R$ 31.304,53
CNPJ;5,6712E+12;01/07/2025;08/08/2025;16:21:54;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 42.168,05;R$ 35.839,67
CNPJ;5,6712E+12;01/06/2025;16/07/2025;08:51:34;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 35.862,15;R$ 23.249,47
CNPJ;5,6712E+12;01/05/2025;09/06/2025;14:31:26;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 35.862,71;R$ 26.140,35
CNPJ;5,59554E+12;01/08/2025;24/09/2025;09:54:22;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 37.318,53;R$ 37.318,53
CNPJ;5,59554E+12;01/07/2025;21/08/2025;23:47:35;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 51.343,18;R$ 51.343,18
